60000;910GLEYTNMR;Leyton Midland Road Rail Station;51.569731;-0.008042;940GZZDLTWG;Tower Gateway DLR Station;51.510621;-0.074813;8;7
60001;940GZZLURYL;Rayners Lane Underground Station;51.575154;-0.37113;910GDENMRKH;Denmark Hill Rail Station;51.468206;-0.089356;6;12
60002;940GZZLUSKS;South Kensington Underground Station;51.494098;-0.174135;940GZZLUWAF;Watford Underground Station;51.657446;-0.41738;7;8
60003;910GHOXTON;Hoxton Rail Station;51.531517;-0.075676;940GZZLUSWK;Southwark Underground Station;51.50398;-0.104935;7;10
60004;940GZZDLMUD;Mudchute DLR Station;51.490707;-0.014731;940GZZLUEPG;Epping Underground Station;51.693689;0.11378;7;13
60005;940GZZLUHSN;Harlesden Underground Station;51.536316;-0.257882;910GBHILLPK;Bush Hill Park Rail Station;51.641872;-0.069452;7;8
60006;910GSTMFDHL;Stamford Hill Rail Station;51.574474;-0.076676;940GZZLULYS;Leytonstone Underground Station;51.56833;0.008202;6;13
60007;940GZZLUBBN;Barbican Underground Station;51.52028;-0.097988;940GZZLUPNR;Pinner Underground Station;51.5929;-0.381164;11;11
60008;910GWMBY;Wembley Central Rail Station;51.552331;-0.296433;940GZZLULRD;Latimer Road Underground Station;51.513394;-0.217797;6;11
60009;940GZZLUBLG;Bethnal Green Underground Station;51.527227;-0.0555;940GZZLUMMT;Monument Underground Station;51.510705;-0.085964;7;9
60010;940GZZLULVT;Liverpool Street Underground Station;51.517377;-0.083176;940GZZLUWIG;Willesden Green Underground Station;51.549151;-0.221535;10;18
60011;940GZZLULNB;London Bridge Underground Station;51.505725;-0.088867;940GZZLUSUT;Sudbury Town Underground Station;51.550821;-0.315746;9;21
60012;910GBRUCGRV;Bruce Grove Rail Station;51.593966;-0.069861;910GBTHNLGR;Bethnal Green Rail Station;51.523922;-0.059562;10;7
60013;940GZZLUNAN;North Acton Underground Station;51.523529;-0.259754;940GZZLUVXL;Vauxhall Underground Station;51.485747;-0.1242;11;4
60014;940GZZLUSWF;South Woodford Underground Station;51.591913;0.027347;910GHMPSTDH;Hampstead Heath Rail Station;51.555216;-0.165702;7;15
60015;940GZZLUSKW;Stockwell Underground Station;51.472188;-0.122639;940GZZLUFLP;Fairlop Underground Station;51.595625;0.091015;7;5
60016;910GCMDNRD;Camden Road Rail Station;51.541796;-0.138697;940GZZLUTHB;Theydon Bois Underground Station;51.671768;0.103097;8;19
60017;940GZZLUHPC;Hyde Park Corner Underground Station;51.503039;-0.152438;910GDENMRKH;Denmark Hill Rail Station;51.468206;-0.089356;10;19
60018;940GZZDLLCA;London City Airport DLR Station;51.503419;0.048749;940GZZDLGAL;Gallions Reach DLR Station;51.508945;0.071565;7;4
60019;910GKLBRNHR;Kilburn High Road Rail Station;51.537283;-0.192235;910GSTOTNHM;South Tottenham Rail Station;51.580379;-0.072096;10;8
60020;940GZZLURBG;Redbridge Underground Station;51.576249;0.045369;910GHACKNYW;Hackney Wick Rail Station;51.543416;-0.024912;8;20
60021;940GZZLUSJW;St. John's Wood Underground Station;51.534527;-0.173945;940GZZLUEAN;East Acton Underground Station;51.516616;-0.247248;8;12
60022;940GZZLUWYC;Wembley Central Underground Station;51.55231;-0.296852;940GZZLUCXY;Croxley Underground Station;51.647044;-0.441708;7;17
60023;910GSTNBGPK;Stonebridge Park Rail Station;51.544117;-0.275828;910GSTOTNHM;South Tottenham Rail Station;51.580379;-0.072096;9;13
60024;940GZZLUGTH;Gants Hill Underground Station;51.57655;0.066195;940GZZLUPRD;Preston Road Underground Station;51.571979;-0.295107;10;13
60025;940GZZDLBNK;Bank DLR Station;51.513237;-0.088509;940GZZLULRD;Latimer Road Underground Station;51.513394;-0.217797;11;17
60026;940GZZLUERC;Edgware Road (Circle Line) Underground Station;51.519863;-0.167829;940GZZLULGT;Lancaster Gate Underground Station;51.511727;-0.175491;10;14
60027;940GZZDLRAL;Royal Albert DLR Station;51.508361;0.045944;940GZZDLPDK;Pontoon Dock DLR Station;51.502216;0.032124;10;9
