8000;940GZZLUHNX;Hatton Cross Underground Station;51.466751;-0.423181;910GRICHMND;Richmond (London) Rail Station;51.463064;-0.301559;10;17
8001;910GFORESTH;Forest Hill Rail Station;51.439282;-0.053151;940GZZLUCSM;Chesham Underground Station;51.70521;-0.611241;7;19
8002;940GZZLUGBY;Gunnersbury Underground Station;51.491808;-0.275267;940GZZLUNBP;Newbury Park Underground Station;51.575732;0.090015;14;20
8003;940GZZLUMBA;Marble Arch Underground Station;51.513429;-0.15895;940GZZDLCAN;Canary Wharf DLR Station;51.504842;-0.02099;7;11
8004;910GEDMNGRN;Edmonton Green Rail Station;51.624936;-0.061106;940GZZLUFBY;Fulham Broadway Underground Station;51.480084;-0.195419;10;22
8005;910GPCKHMRY;Peckham Rye Rail Station;51.470037;-0.069409;910GQPRK;Queens Park (London) Rail Station;51.533972;-0.204983;6;19
8006;940GZZDLLCA;London City Airport DLR Station;51.503419;0.048749;940GZZLUKNB;Knightsbridge Underground Station;51.501673;-0.160504;8;18
8007;910GWLTWCEN;Walthamstow Central Rail Station;51.582925;-0.019807;940GZZLUECM;Ealing Common Underground Station;51.510145;-0.288265;16;22
8008;910GCLAPTON;Clapton Rail Station;51.56165;-0.057018;940GZZLURSQ;Russell Square Underground Station;51.523077;-0.124281;12;21
8009;940GZZDLPOP;Poplar DLR Station;51.507749;-0.017377;940GZZLUSTM;Stanmore Underground Station;51.619838;-0.303267;6;22
8010;940GZZDLWLA;Woolwich Arsenal DLR Station;51.490012;0.069136;940GZZLUSTD;Stratford Underground Station;51.541811;-0.00345;6;17
8011;940GZZLURMD;Richmond Underground Station;51.463241;-0.301337;940GZZLULYS;Leytonstone Underground Station;51.56833;0.008202;13;19
8012;940GZZLUDBN;Debden Underground Station;51.645394;0.083793;940GZZDLWSV;West Silvertown DLR Station;51.502841;0.022469;7;12
8013;940GZZLUBKH;Buckhurst Hill Underground Station;51.626612;0.046767;910GKLBRNHR;Kilburn High Road Rail Station;51.537283;-0.192235;9;17
8014;940GZZLUGFD;Greenford Underground Station;51.54243;-0.346052;940GZZLUKSL;Kensal Green Underground Station;51.530544;-0.225014;9;22
8015;940GZZLUPKR;Park Royal Underground Station;51.527129;-0.284341;940GZZLUGHK;Goldhawk Road Underground Station;51.502009;-0.226714;6;21
8016;940GZZLUFYR;Finchley Road Underground Station;51.54683;-0.179842;940GZZLURGP;Regent's Park Underground Station;51.523349;-0.146441;6;10
8017;910GSKENTON;South Kenton Rail Station;51.570221;-0.308463;910GUPMNSTR;Upminster Rail Station;51.559023;0.250895;6;13
8018;940GZZLUNBP;Newbury Park Underground Station;51.575732;0.090015;940GZZLUDOH;Dollis Hill Underground Station;51.551961;-0.239066;16;20
8019;940GZZLUCHL;Chancery Lane Underground Station;51.518251;-0.111578;910GSBURY;Southbury Rail Station;51.648713;-0.05243;11;22
8020;940GZZLUMYB;Marylebone Underground Station;51.522327;-0.163204;940GZZLUSKW;Stockwell Underground Station;51.472188;-0.122639;7;12
