11000;940GZZLUACT;Acton Town Underground Station;51.503062;-0.280462;940GZZLUNDN;Neasden Underground Station;51.553992;-0.249836;9;4
11001;940GZZLUWYP;Wembley Park Underground Station;51.563204;-0.279261;940GZZDLALL;All Saints DLR Station;51.511004;-0.013128;11;15
11002;940GZZDLBOW;Bow Church DLR Station;51.527818;-0.020931;910GWLTHQRD;Walthamstow Queens Road Rail Station;51.581509;-0.023838;7;21
11003;940GZZLUHPC;Hyde Park Corner Underground Station;51.503039;-0.152438;940GZZLUGTR;Gloucester Road Underground Station;51.494321;-0.182655;11;6
11004;940GZZLUWRR;Warren Street Underground Station;51.524956;-0.138317;910GBTHNLGR;Bethnal Green Rail Station;51.523922;-0.059562;10;20
11005;910GCLPHHS;Clapham High Street Rail Station;51.465394;-0.132784;910GPCKHMQD;Queens Road Peckham Rail Station;51.47357;-0.057307;11;20
11006;940GZZLUTNG;Turnham Green Underground Station;51.495152;-0.254554;910GTURKYST;Turkey Street Rail Station;51.672637;-0.047209;11;15
11007;940GZZLUSUT;Sudbury Town Underground Station;51.550821;-0.315746;940GZZDLALL;All Saints DLR Station;51.511004;-0.013128;6;13
11008;940GZZLUWSD;Wanstead Underground Station;51.575507;0.028537;910GNORWDJ;Norwood Junction Rail Station;51.39702;-0.075216;9;10
11009;940GZZLUBEC;Becontree Underground Station;51.540336;0.127028;940GZZLUKSL;Kensal Green Underground Station;51.530544;-0.225014;6;5
11010;940GZZLUEPK;Elm Park Underground Station;51.54978;0.198654;940GZZLUBXN;Brixton Underground Station;51.462621;-0.114884;6;11
11011;940GZZLUNGW;North Greenwich Underground Station;51.500474;0.004295;940GZZLUSWF;South Woodford Underground Station;51.591913;0.027347;8;17
11012;940GZZLUWLA;Wood Lane Underground Station;51.509674;-0.224528;910GKENOLYM;Kensington (Olympia) Rail Station;51.497903;-0.210362;6;9
11013;940GZZLUNEN;North Ealing Underground Station;51.51751;-0.288868;940GZZLUWSM;Westminster Underground Station;51.501324;-0.124857;10;21
11014;940GZZLUERC;Edgware Road (Circle Line) Underground Station;51.519863;-0.167829;940GZZDLLCA;London City Airport DLR Station;51.503419;0.048749;11;13
11015;940GZZLUHBN;Holborn Underground Station;51.517585;-0.12047;940GZZLUSKW;Stockwell Underground Station;51.472188;-0.122639;6;13
11016;940GZZLUSNB;Snaresbrook Underground Station;51.580684;0.021449;910GSHPDSB;Shepherds Bush Rail Station;51.505289;-0.217652;10;8
11017;940GZZLULAD;Ladbroke Grove Underground Station;51.517454;-0.210389;940GZZLUHBN;Holborn Underground Station;51.517585;-0.12047;10;20
11018;940GZZLUCGN;Covent Garden Underground Station;51.513098;-0.124431;910GFORESTH;Forest Hill Rail Station;51.439282;-0.053151;11;9
11019;910GWHHRTLA;White Hart Lane Rail Station;51.605044;-0.070907;940GZZLUSNB;Snaresbrook Underground Station;51.580684;0.021449;11;19
11020;940GZZLUVXL;Vauxhall Underground Station;51.485747;-0.1242;940GZZLUECT;Earl's Court Underground Station;51.492067;-0.193376;11;5
11021;910GRTHERHI;Rotherhithe Rail Station;51.500821;-0.052042;910GSACTON;South Acton Rail Station;51.4997;-0.270157;7;5
11022;910GKNTSHTW;Kentish Town West Rail Station;51.546553;-0.146651;910GEUSTON;London Euston Rail Station;51.528141;-0.133919;8;10
11023;940GZZLURYL;Rayners Lane Underground Station;51.575154;-0.37113;910GGOSPLOK;Gospel Oak Rail Station;51.555341;-0.150766;6;7
11024;910GGNRSBRY;Gunnersbury Rail Station;51.491682;-0.275286;940GZZLUNHT;Northolt Underground Station;51.548242;-0.368702;8;10
11025;940GZZLUSNB;Snaresbrook Underground Station;51.580684;0.021449;940GZZLUSGP;Stonebridge Park Underground Station;51.543965;-0.275891;8;8
11026;910GROMFORD;Romford Rail Station;51.574835;0.183251;940GZZLUCYD;Chorleywood Underground Station;51.654359;-0.518453;9;15
11027;940GZZLUSBM;Shepherd's Bush Market Underground Station;51.505583;-0.226373;910GRCTRYRD;Rectory Road Rail Station;51.558508;-0.068261;7;4
11028;940GZZLUKSX;King's Cross St. Pancras Underground Station;51.530668;-0.12319;940GZZLUSUT;Sudbury Town Underground Station;51.550821;-0.315746;10;4
11029;940GZZLUBNK;Bank Underground Station;51.513424;-0.088948;910GWLTHQRD;Walthamstow Queens Road Rail Station;51.581509;-0.023838;6;19
11030;940GZZDLISL;Island Gardens DLR Station;51.487814;-0.010132;940GZZDLLEW;Lewisham DLR Station;51.464668;-0.012867;11;14
11031;940GZZLUBMY;Bermondsey Underground Station;51.497957;-0.063762;940GZZDLCAN;Canary Wharf DLR Station;51.504842;-0.02099;9;21
11032;940GZZLUMGT;Moorgate Underground Station;51.51818;-0.088317;940GZZLUNEN;North Ealing Underground Station;51.51751;-0.288868;8;8
